GEOID,Precariedade,Insalubridade e Insegurança,Sobrelotação,Inadequação,Pessoas Vulneráveis,Núcleos precários,Núcleos degradados,Total SH,Precariedade_per_cap,Insalubridade e Insegurança_per_cap,Sobrelotação_per_cap,Inadequação_per_cap,Pessoas Vulneráveis_per_cap,Núcleos precários_per_cap,Núcleos degradados_per_cap,Total SH_per_cap
1401,0,151,48,0,0,0,0,199,0,0.211280415,0.002402763,0,0,0,0,0
101,128,232,8,1,0,49,0,369,0.007154035,0.691979599,0.000428839,2.17E-05,0,70.81133621,0,17017911
901,26,28,0,4,0,0,0,58,0.012328118,0.135416163,0,0.000764672,0,0,0,75849.5
701,11,49,12,3,4,5,0,75,0.005045872,0.090292622,0.002799813,0.000598325,792.7272727,55.3755102,0,125350
102,13,95,3,22,9,0,0,133,0.001346592,0.598161441,0.000294118,0.000885668,6683.538462,0,0,150169.0909
801,116,87,2,9,109,0,0,214,0.006477552,0.618512726,0.00010098,0.000203786,16827.34483,0,0,1050121.778
1501,4,93,0,0,4,0,0,97,0.000849437,0.062005374,0,0,4709,0,0,0
1402,35,262,7,7,30,0,0,311,0.006706266,2.057645488,0.001065287,0.000561257,4473.428571,0,0,554113.1429
1001,101,204,13,38,0,9,0,356,0.004504705,0.49982849,0.000485419,0.000691349,0,18.00617647,0,514935.2632
1502,26,149,0,1,1,7,26,176,0.003496033,1.160797756,0,5.22E-05,286.0384615,6.03033557,0,3369168
802,5,13,46,18,5,0,0,82,0.004108463,0.022594549,0.01301273,0.007134364,1217,0,0,11493.66667
1101,2,25,1,0,2,10,0,28,0.000115774,0.082177372,6.12E-05,0,17275,121.688,0,0
401,8,128,25,13,0,0,0,174,0.004333694,0.397577264,0.006871908,0.003006475,0,0,0,57875.07692
1701,12,159,8,14,0,0,0,193,0.002730375,0.534274194,0.00098912,0.001335113,0,0,0,144557
803,92,12,3,1,1,0,0,108,0.034392523,0.037094281,0.000557517,0.000165426,29.07608696,0,0,652860
201,13,113,31,14,2,31,11,171,0.003485255,0.246471961,0.00557554,0.001577643,573.8461538,125.7749558,1972.903226,108389.5714
1503,1247,1883,50,80,100,714,0,3260,0.01647466,26.89615769,0.00144852,0.00045137,6069.927827,26.54654275,0,7222448.5
902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,51,110,13,0,0,11,0,174,0.00565097,0.495227805,0.001398752,0,0,22.212,0,0
202,0,185,40,0,0,0,0,225,0,0.237825886,0.007795751,0,0,0,0,0
1404,0,47,16,0,0,4,0,63,0,0.492869128,0.004620271,0,0,8.115744681,0,0
1201,7,13,7,2,0,7,0,29,0.005434783,0.035904659,0.00248315,0.00065703,0,194.9607692,0,44138
1002,1,69,1,2,0,0,0,73,0.000363372,0.42996012,0.000183756,0.000320616,0,0,0,227687
203,21,22,3,2,0,0,0,48,0.022850925,0.083065886,0.001814882,0.000877193,0,0,0,54720
1115,422,1975,0,0,0,3072,0,2397,0.005738452,83.0529857,0,0,0,36.98843544,0,0
1301,111,378,26,94,25,12,0,609,0.005650005,1.254438655,0.001101275,0.001803669,4424.774775,9.566031746,0,337645.1489
301,21,70,8,26,0,0,0,125,0.003194402,0.854179378,0.000910436,0.001398225,0,0,0,89399.03846
103,18,49,0,7,0,0,0,74,0.001661743,0.226192125,0,0.00025425,0,0,0,291052.5714
4301,21,607,35,27,0,0,0,690,0.001649387,2.539748954,0.002533845,0.000799503,0,0,0,863036.6667
1003,1,25,4,44,0,0,0,74,0.000207598,0.141972855,0.000516462,0.003779419,0,0,0,19579.72727
1601,86,88,2,11,8,0,0,187,0.009812871,0.196604111,0.000127202,0.000530939,815.255814,0,0,352206
601,9,196,0,0,0,0,0,205,0.001917341,0.58887153,0,0,0,0,0,0
1801,20,55,5,0,0,0,0,80,0.008833922,0.469123166,0.001078516,0,0,0,0,0
104,8,104,0,99,8,0,0,211,0.001052216,0.316003768,0,0.004681736,7603,0,0,45068.74747
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,3,109,6,0,0,0,0,118,0.002581756,0.346416653,0.002712477,0,0,0,0,0
1102,48,33,9,1,12,28,0,91,0.009060023,0.423293997,0.001921435,7.15E-05,1324.5,66.14787879,0,1273272
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,58,84,0,0,0,43,49,142,0.035474006,0.138620724,0,0,0,310.1989286,0,0
1103,41,114,0,0,0,0,0,155,0.004906654,0.434021168,0,0,0,0,0,0
1302,41,99,11,2,6,0,0,153,0.006115752,0.567237724,0.001028037,0.000114064,981.0731707,0,0,1341351
302,152,171,17,49,84,0,0,389,0.003780248,0.451306413,0.000435763,0.000419693,22220.76316,0,0,926867.9184
204,5,57,6,0,2,5,7,68,0.008347245,0.338439615,0.004934211,0,239.6,14.77368421,1418.666667,0
1504,253,400,69,15,23,0,0,737,0.007361927,10.99203078,0.006347162,0.000191461,3124.181818,0,0,3849351
1004,5,21,2,14,1,0,0,42,0.000815927,0.203055502,0.000268745,0.000899916,1225.6,0,0,46671
205,0,321,74,0,0,0,0,395,0,0.27998744,0.005492874,0,0,0,0,0
501,5,17,3,4,0,0,0,29,0.001907669,0.14314584,0.00069029,0.000644641,0,0,0,44986.25
1405,153,225,18,13,6,27,0,409,0.013080277,0.431547048,0.001841432,0.000437578,458.7058824,62.5656,0,934690.8462
1005,29,5,13,8,1,0,0,55,0.005503891,0.054770512,0.001992032,0.000627648,181.6896552,0,0,87628.75
703,0,53,20,14,0,50,0,87,0,0.365038915,0.006027728,0.002177971,0,136.9716981,0,39945.42857
1702,21,71,0,0,o,0,0,92,0.010209042,0.220524289,0,0,#VALUE!,0,0,0
303,301,416,54,10,1,0,0,781,0.004179859,2.268266085,0.001342816,5.17E-05,239.2425249,0,0,15098604.4
402,47,75,11,24,22,37,0,157,0.003287403,0.063907564,0.000652316,0.000694003,6692.212766,578.9612,0,226223.9167
304,27,40,7,10,0,0,0,84,0.004805981,0.16541229,0.00080119,0.000642756,0,0,0,130687.2
1104,8,29,4,5,0,0,0,46,0.001464397,0.165818514,0.000504668,0.000373916,0,0,0,123022.4
1006,20,70,1,3,11,2,0,94,0.000938394,0.273769017,5.14E-05,5.89E-05,11722.15,7.305428571,0,1595180
4501,29,94,7,25,1,0,0,155,0.020251397,0.744495486,0.003018542,0.007273785,49.37931034,0,0,21309.4
3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,179,230,79,29,0,0,0,517,0.016710232,4.408663983,0.007556193,0.000901685,0,0,0,573370.8276
1602,6,139,41,0,0,0,28,186,0.00094162,1.018165837,0.004291396,0,0,0,6524.682927,0
1204,9,13,14,4,1,0,0,40,0.002820432,0.052588997,0.003312042,0.000497389,354.5555556,0,0,80420
602,18,26,1,14,0,0,0,59,0.001311762,0.066516578,5.33E-05,0.000409213,0,0,0,144179.1429
403,7,124,2,1,0,21,0,134,0.002906977,0.444062455,0.000392157,0.000182149,0,47.29064516,0,735660
1802,3,85,9,4,1,0,0,101,0.000802139,0.727179399,0.001468908,0.000442576,1246.666667,0,0,228209.5
1406,20,37,4,8,15,0,0,69,0.002093583,0.233925523,0.000403511,0.000345036,7164.75,0,0,199979.25
1105,984,1677,528,179,127,499,0,3368,0.011377827,17.21765914,0.011938679,0.000835964,11162.06098,28.98187239,0,4028880.626
1007,1,80,1,0,1,0,0,82,0.000848896,1.198142879,0.00040404,0,1178,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,5,387,0,0,5,0,0,392,0.000891583,3.364924789,0,0,5608,0,0,0
1205,6,43,4,6,0,1,0,59,0.004604758,0.162319278,0.001510004,0.001925546,0,6.160697674,0,30640.66667
1803,1,60,3,4,0,0,0,68,0.000177588,0.158294639,0.000251868,0.000291206,0,0,0,233512
804,21,79,9,0,5,0,0,109,0.007559395,0.262598059,0.001318875,0,661.4285714,0,0,0
206,6,48,4,3,0,16,0,61,0.002112676,0.084293341,0.000851789,0.000436491,0,189.8133333,0,139751
903,34,26,4,1,0,0,0,65,0.012048193,0.105169485,0.000683527,0.000151906,0,0,0,427895
305,121,377,8,5,113,0,0,511,0.01830006,2.082067709,0.00079373,0.000283399,6174.842975,0,0,1803114.6
1407,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
1703,19,296,6,3,19,7,0,324,0.001194668,0.500651185,0.000265428,7.98E-05,15904,13.98179054,0,4059720
1804,85,165,27,75,0,0,0,352,0.012540572,0.689539889,0.002382213,0.004230118,0,0,0,83212.8
603,211,466,112,37,45,0,0,826,0.003517429,1.458985598,0.002751775,0.000262754,12793.43602,0,0,3143622.054
604,8,43,3,38,1,0,0,92,0.001261631,0.3100887,0.000465911,0.002271097,792.625,0,0,40509.05263
1408,1,32,0,0,1,4,0,33,0.000646831,0.398158517,0,0,1546,10.04625,0,0
1409,123,1,4,5,21,0,89,133,0.016545601,0.000896282,0.00036036,0.000288101,1269.219512,0,246975,461643
4901,7,9,4,0,0,0,0,20,0.04516129,0.526008182,0.020512821,0,0,0,0,0
503,51,94,4,20,47,0,0,169,0.002516034,0.169186465,0.000181595,0.000430524,18680.19608,0,0,392544.75
1206,18,40,2,0,0,16,0,60,0.012987013,0.100484839,0.000641643,0,0,159.228,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,59,493,22,0,0,59,0,574,0.006877258,0.780940614,0.002367883,0,0,75.54991886,0,0
1410,20,190,8,2,0,0,0,220,0.002394063,13.83831027,0.001899786,9.93E-05,0,0,0,2215510
107,23,128,38,8,23,0,0,197,0.001840294,6.077872745,0.004344843,0.000257707,12498,0,0,764433.875
306,94,459,16,6,2,13,0,575,0.007569657,4.810816476,0.001002004,0.000170784,264.212766,2.702244009,0,3366816.667
108,180,157,11,3,1,47,0,351,0.018322476,1.451419063,0.000982757,0.000114447,54.57777778,32.38210191,0,3066921
704,4,89,0,6,2,52,17,99,0.00073692,0.173219151,0,0.000473186,2714,300.1977528,0,209220
705,64,1272,0,0,64,0,230,1336,0.002862382,0.973161551,0,0,22359,0,0,0
307,74,76,10,54,20,0,0,214,0.004029623,0.34690524,0.000482882,0.001113471,4963.243243,0,0,192191.8148
805,134,91,0,0,0,0,0,225,0.004723799,0.449227428,0,0,0,0,0,0
1303,45,65,5,19,28,0,0,134,0.002261307,0.561603594,0.00027239,0.000340209,12382.22222,0,0,393875.3684
208,6,88,32,4,0,0,0,130,0.001882648,0.135758473,0.006463341,0.000520562,0,0,0,249730
1411,20,38,0,4,1,0,0,62,0.006093845,0.199600798,0,0.000512821,164.1,0,0,120900
605,42,313,27,2,42,0,0,384,0.001706901,0.825748582,0.001086169,3.39E-05,24606,0,0,11318592
904,1,62,11,16,0,0,0,90,0.000461042,0.121910455,0.002119461,0.003108003,0,0,0,28957.5
1008,8,21,3,6,8,0,0,38,0.003384095,0.121079336,0.000658617,0.001136148,2364,0,0,33446.33333
905,0,49,3,2,0,0,0,54,0,0.37276531,0.000810154,0.000454236,0,0,0,118881
404,12,97,1,0,0,0,0,110,0.008849558,0.397313017,0.000326371,0,0,0,0,0
1208,11,26,1,13,0,0,0,51,0.00918197,0.10458568,0.000407498,0.004548635,0,0,0,11212.15385
3103,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0
504,16,24,7,2,0,0,13,49,0.001382648,0.034275921,0.000380662,7.55E-05,0,0,34151,649323.5
1209,33,4,14,9,0,0,0,60,0.022479564,0.013578193,0.004180352,0.002651738,0,0,0,22626.66667
606,8,35,5,4,0,3,0,52,0.004886988,0.132928219,0.001040366,0.001049593,0,22.56857143,0,49543
1412,11,38,0,0,0,0,0,49,0.004856512,0.450664137,0,0,0,0,0,0
1304,449,735,263,41,62,142,191,1488,0.007008616,5.57155852,0.007179515,0.000249609,8846.253898,25.48658503,26603.46768,5961327.22
906,5,84,10,0,0,12,18,99,0.000957488,0.279431822,0.000986388,0,0,42.94428571,18248.4,0
1505,78,216,11,0,2,0,46,305,0.01381509,0.261520207,0.001133787,0,144.7692308,0,40572,0
907,19,80,49,24,0,19,81,172,0.001159739,0.112343772,0.002494527,0.00059825,0,169.12375,32471.08163,287505.1667
308,162,202,22,55,33,0,0,441,0.002805826,0.838174274,0.000486478,0.000350698,11761.24074,0,0,1257491.455
4701,84,74,21,26,10,0,0,205,0.014838368,0.427597365,0.003188098,0.001814249,673.9285714,0,0,112994.4231
505,6,78,12,5,6,10,0,101,0.001569448,0.055071522,0.000993542,0.000598444,3823,181.5820513,0,168771
110,105,26,5,10,8,71,0,146,0.006721721,0.353837779,0.000329402,0.000254874,1190.171429,200.6569231,0,572831
806,13,212,6,1,4,37,0,232,0.001343669,2.402266289,0.000442543,4.21E-05,2976.923077,15.40212264,0,5504200
4201,76,42,60,0,8,0,0,178,0.016941596,0.921254661,0.012269939,0,472.2105263,0,0,0
807,198,176,20,5,75,0,0,399,0.01402763,0.826329875,0.001498464,0.00014928,5346.590909,0,0,2672821.2
4801,13,43,12,26,2,0,0,94,0.021487603,0.613847252,0.011940299,0.018465909,93.07692308,0,0,5090.461538
4601,5,100,7,0,0,0,0,112,0.0029994,0.643873543,0.002213789,0,0,0,0,0
1805,49,45,39,3,6,29,0,136,0.005076142,0.27203482,0.003141361,0.000123396,1182,106.604,0,1102144
1009,45,269,9,12,5,7,0,335,0.00087484,0.476030367,0.000190791,9.33E-05,5715.333333,14.70494424,0,3590167.083
1106,5561,14371,976,604,0,294,142,21512,0.022925247,143.6381809,0.019828129,0.001106641,0,2.046809547,7161.543033,19439012.5
808,160,170,53,37,24,101,48,420,0.005421523,0.222609242,0.001523032,0.00051153,4426.8,453.7098235,31516.07547,821065.9459
1107,710,2764,114,216,120,850,0,3804,0.008690118,16.52714662,0.003636016,0.001071482,13808.78873,51.43053546,0,3550223.889
1108,17,75,4,4,5,0,0,100,0.001588637,0.509614731,0.000291971,0.000152439,3147.352941,0,0,656000
607,27,31,1,6,27,0,0,65,0.003843416,0.223988439,0.000141004,0.000352817,7025,0,0,184231.6667
1305,0,401,1,0,0,0,0,402,0,4.173605329,6.64E-05,0,0,0,0,0
1413,1,21,2,2,0,0,0,26,0.000353482,0.052502625,0.000317309,0.000312402,0,0,0,83226
405,11,117,5,17,11,0,0,150,0.001800917,0.167348457,0.000504592,0.001192899,6108,0,0,125744.1176
3104,0,37,0,2,0,0,0,39,0,0.542124542,0,0.000102077,0,0,0,382063.5
4602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,167,247,19,19,75,0,0,452,0.005028757,0.846905537,0.000659951,0.000219615,14914.22156,0,0,2058146.316
1306,0,836,5,52,0,8,242,893,0,10.07836046,0.000189725,0.000385251,0,0.793779904,1275533.6,2317970.404
1806,9,142,3,4,0,0,0,158,0.001216709,0.647632947,0.000267953,0.000218543,0,0,0,722968.5
908,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
1307,45,159,5,32,16,12,0,241,0.002498473,0.787557581,0.000256121,0.00064593,6403.911111,15.23698113,0,373105.6563
1010,378,202,27,18,28,28,0,625,0.023460775,1.078771696,0.001811959,0.000461255,1193.481481,25.95544554,0,1355000
1210,1,30,2,0,1,4,0,33,0.000775194,0.193673338,0.000728067,0,1290,20.65333333,0,0
1308,104,2587,0,0,0,0,0,2691,0.001485778,41.44504966,0,0,0,0,0,0
111,13,79,10,9,0,0,0,111,0.001697793,0.713898428,0.001171097,0.000465164,0,0,0,238625.3333
909,2,65,4,8,2,0,0,79,0.000965717,0.227233001,0.000831428,0.001727862,2071,0,0,45721.25
1603,6,111,0,15,0,0,0,132,0.001748252,0.465897167,0,0.001929757,0,0,0,68402.4
209,86,0,0,0,0,0,0,86,0.029747492,0,0,0,0,0,0,0
1704,10,26,0,30,2,8,0,66,0.007220217,0.975609756,0,0.008457852,277,8.2,0,7803.4
608,0,32,0,0,0,11,0,32,0,0.258002096,0,0,0,42.6353125,0,0
609,41,165,7,42,32,0,0,255,0.008602602,1.305586327,0.001154354,0.003499417,3719.804878,0,0,72869.28571
406,29,74,1,3,0,0,0,107,0.010353445,0.151894577,0.000188111,0.000464181,0,0,0,230513.6667
407,47,337,14,126,27,21,0,524,0.00528268,0.511411922,0.001191591,0.005892256,5111.042553,41.06278932,0,88930.28571
